name,type,rec
JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,University,1
KENYA INSTITUTE OF CURRICULUM DEVELOPMENT,Parastatal,1
UNIVERSITY OF NAIROBI ENTERPRISES AND SERVICES LIMITED,University,1
NATIONAL YOUTH SERVICE BURA HOLA IRRIGATION PROJECT,Schools And Colleges,1
GARISSA UNIVERSITY COLLEGE,University,1
THE TECHNICAL UNIVERSITY OF KENYA(TU-K),University,1
NATIONAL YOUTH SERVICE NAIROBI,Schools And Colleges,1
WITU N.Y.S,Schools And Colleges,1
UWEZO FUND OVERSIGHT BOARD,Parastatal,1
CENTRAL BANK OF KENYA,Parastatal,1
AGRICULTURE FISHERIES AND FOOD AUTHORITY (AFFA),Parastatal,1
NUMERICAL MACHINING COMPLEX,Parastatal,1
KENYA DAIRY BOARD,Parastatal,1
AGRICULTURAL DEVELOPMENT CORPORATION,Parastatal,1
PUBLIC COMPLAINTS COMMITTEE ON ENVIRONMENT,Parastatal,1
MUHORONI SUGAR COMPANY LTD,Parastatal,1
AFFA-FIBRE CROPS DIRECTORATE,Parastatal,1
INDEPENDENT POLICING OVERSIGHT AUTHORITY,Parastatal,1
AGRICULTURE FINANCE CORPORATION,Parastatal,1
COUNTY GOVERNMENT OF KERICHO,County Government,1
SPORTS KENYA(SPORTS STADIA MANAGEMENT BOARD),Parastatal,1
SACCO SOCIETIES REGURATORY AUTHORITY,Parastatal,1
AGRICULTURE INFORMATION RESOURCE CENTRE,Parastatal,1
CHEMILIL SUGAR COMPANY,Parastatal,1
NGANGAKA WATER AND SANITATION CO.LTD,Parastatal,1
NATIONAL YOUTH SERVICE TURBO STATION,Schools And Colleges,1
RURAL ELECTRIFICATION AUTHORITY,Parastatal,1
KENYA BUREAU OF STANDARDS,Parastatal,1
HIV AND AIDS TRIBUNAL,Parastatal,1
KENYA CULTURAL CENTRE,Parastatal,1
NATIONAL YOUTH SERVICE YATTA,Schools And Colleges,1
KIMIRA OLUCH SMALLHOLDER FARM IMPROVEMENT PROJECT,Parastatal,1
NATIONAL YOUTH SERVICE ATHI RIVER FIELD STATION,Schools And Colleges,1
NURSING COUNCIL OF KENYA,Parastatal,1
MOMBASA WATER SUPPLY AND SANITATION CO.LTD,Parastatal,1
ATHI WATER SERVICES BOARD,Parastatal,1
NATIONAL YOUTH SERVICE MWATATE STATION,Schools And Colleges,1
KIRINYAGA WATER AND SANITATION COMPANY,Parastatal,1
MEDICAL PRACTITIONERS AND DENTISTS BOARD,Parastatal,1
NATIONAL CRIME RESEARCH CENTRE,Parastatal,1
KISUMU WATER AND SEWERAGE COMPANY,Parastatal,1
KENYA WATER INSTITUTE,Parastatal,1
KENYA MEDICAL SUPPLIES AUTHORITY,Parastatal,1
COUNTY GOVERNMENT OF NAROK,Local Authorities,1
EXPORT PROCESSING ZONES AUTHORITY,Parastatal,1
KENYA CITIZEN AND FOREIGN NATIONALS MANAGEMENT SERVICE,Parastatal,1
TANA WATER SERVICES BOARD,Parastatal,1
WATER SERVICES REGULATORY BOARD,Parastatal,1
MALINDI WATER AND SEWERAGE COMPANY LIMITED,Parastatal,1
ELDORET WATER AND SANITATION COMPARNY LIMITED,Parastatal,1
KENYA FILM CLASSIFICATION BOARD (KFCB),Parastatal,1
WILDLIFE CLUBS OF KENYA,Parastatal,1
KENYA LEATHER DEVELOPMENT COUNCIL,Parastatal,1
NYANDARAU WATER AND SANITATION COMPANY,Parastatal,1
THE JOMO KENYATTA FOUNDATION,Parastatal,1
OFFICE OF THE REGISTRAR OF POLITICAL PARTIES,Parastatal,1
"NATIONAL COMMISSION FOR SCIENCE, TECHNOLOGY AND INNOVATION",Parastatal,1
KENYA NATIONAL ASSURANCE COMPANY(2001) LTD,Parastatal,1
NATIONAL YOUTH SERVICE TANA BASIN ROAD PROJECT,Parastatal,1
COAST DEVELOPMENT AUTHORITY,Parastatal,1
SOUTH EASTERN KENYA UNIVERSITY,University,1
KENYA INDUSTRIAL PROPERTY INSTITUTE,Parastatal,1
COUNCIL OF LEGAL EDUCATION,Parastatal,1
SONY SUGAR CO. LTD,Parastatal,1
CLINICAL OFFICERS COUNCIL,Parastatal,1
WATER RESOURCES MANAGEMENT AUTHORITY,Parastatal,1
KENYA PLANT HEALTH INSPECTORATE SERVICE(KEPHIS),Parastatal,1
KENYA VETERINARY BOARD,Parastatal,1
TANATHI WATER SERVICES BOARD,Parastatal,1
NGOS CO-ORDINATION BOARD,Parastatal,1
BOMAS OF KENYA LTD,Parastatal,1
NATIONAL HOUSING CORPORATION,Parastatal,1
NATIONAL INDUSTRIAL TRAINING AUTHORITY (NITA),Parastatal,1
KENYA INSTITUTE FOR PUBLIC POLICY RESEARCH AND ANALYSIS,Parastatal,1
COMMISSION ON REVENUE ALLOCATION,Parastatal,1
KENYA INSTITUTE OF MASS COMMUNICATION,Parastatal,1
WATER SERVICES TRUST FUND,Parastatal,1
KENYA AGRICULTURAL & LIVESTOCK RESEARCH ORGANISATION,Parastatal,1
LAKE VICTORIA NORTH WATER SERVICES BOARD,Parastatal,1
NYAYO TEA ZONES DEVELOPMENT CORPORATION,Parastatal,1
PROCUREMENT  OFFICE COUNTY COMMISSIONERS OFFICE ( NATIONAL GOVERNMENT),Parastatal,1
TECHNICAL AND VOCATIONAL EDUCATION TRAINING AUTHORITY,Schools And Colleges,1
INDUSTRIAL AND COMMERCIAL DEVELOPMENT CORPORATION,Parastatal,1
KENGEN,Parastatal,1
REGISTRATION OF CERTIFIED PUBLIC SECRETARIES BOARD,Parastatal,1
INSTITUTE OF PRIMATE RESEARCH - (NATIONAL MUSEUMS OF KENYA),Parastatal,1
KENYA NUCLEAR ELECTRICITY BOARD,Parastatal,1
THIKA WATER AND SEWERAGE COMPANY,Parastatal,1
ANTI-COUNTERFEIT AGENCY,Parastatal,1
KENYA COPYRIGHT BOARD,Parastatal,1
COMMISSION FOR UNIVERSITY EDUCATION,Parastatal,1
STATE CORPORATIONS APPEAL TRIBUNAL,Parastatal,1
KENYA MEDICAL LABORATORY TECHNICIANS AND TECHNOLOGISTS BOARD,Parastatal,1
EMBU COUNTY DEPT OF HEALTH,Hospital,1
NATIONAL WATER CONSERVATION AND PIPELINE CORPORATION,Parastatal,1
KENYA ACADEMY OF SPORTS,Parastatal,1
KILIFI MARIAKANI WATER AND SEWERAGE CO. LTD,Parastatal,1
COMMISSSION ON ADMINISTRATIVE JUSTICE,Parastatal,1
TAVEVO WATER AND SEWERAGE COMPANY LIMITED,Parastatal,1
KENYA INSTITUTE OF SPECIAL EDUCATION,Parastatal,1
THE KENYA TSETSE AND TRYPANOSOMIASIS ERADICATION COUNCIL,Parastatal,1
KENYA NATIONAL COMMISSION OF HUMAN RIGHTS,Parastatal,1
NEPAD KENYA SECRETARIAT,Parastatal,1
KENYA FILM COMMISSION,Parastatal,1
EWASO NGIRO NORTH DEVELOPMENT AUTHORITY,Parastatal,1
KIAMBERE MWINGI WATER AND SANITATION,Parastatal,1
NAIROBI CITY WATER AND SEWERAGE COMPANY,Parastatal,1
NATIONAL AUTHORITY FOR THE CAMPAIGN AGAINST ALCOHOL AND DRUG ABUSE (NACADA),Parastatal,1
NATIONAL CONSTRUCTION AUTHORITY,Parastatal,1
NATIONAL QUALITY CONTROL LAB,Parastatal,1
TEACHERS SERVICE COMMISSION,Parastatal,1
KENYA LAW REFORM COMMISSION,Judiciary,1
NATIONAL COUNCIL FOR LAW REPORTING,Parastatal,1
AGRICULTURE FOOD AND FISH AUTHORITY,Parastatal,1
KENYA MEDICAL RESEARCH INSTITUTE,Parastatal,1
NATIONAL AIDS CONTROL COUNCIL,Parastatal,1
IDB CAPITAL LIMITED,Parastatal,1
NATIONAL COUNCIL FOR PERSONS WITH DISABILITIES,Parastatal,1
TANA AND ATHI RIVERS DEVELOPMENT AUTHORITY (TARDA),Parastatal,1
NORTHERN WATER SERVICES BOARD,Parastatal,1
PRIVATISATION COMMISION,Parastatal,1
KITUI WATER AND SANITATION COMPANY LTD,Parastatal,1
KENYA MEAT COMMISSION,Parastatal,1
NATIONAL COUNCIL FOR CHILDREN'S SERVISES,Parastatal,1
SIMLAW SEEDS CO LTD,Parastatal,1
SOUTH NYANZA SUGAR COMPANY,Parastatal,1
CHEMELIL SUGAR COMPANY,Parastatal,1
KENGEN,Parastatal,1
CHILD WELFARE SOCIETY OF KENYA,Parastatal,1
EWASO NGIRO SOUTH DEVELOPMENT AUTHORITY,Parastatal,1
NAKURU WATER SANITATION SERVICES COMPANY LIMITED,Local Authorities,1
COMMISSION ON REVENUE ALLOCATION,Parastatal,1
PHARMACY AND POISONS BOARD,Parastatal,1
MERU WATER& SEWERAGE SERVICES,Local Authorities,1
EAST AFRICAN PORTLAND CEMENT,University,1
NATIONAL SOCIAL SECURITY FUND (NSSF),Parastatal,1
GUSII WATER AND SANITATION CO.LTD,Parastatal,1
MICRO AND SMALL ENTERPRISES AUTHORITY (MSEA),Parastatal,1
KENYA WATER TOWERS AGENCY,Parastatal,1
NATIONAL ENVIRONMENT MANAGEMENT WATER AND NATURAL RESOURCES,Parastatal,1
KENYA ACCOUNTANTS AND SECRETARIES NATIONAL EXAMINATIONS BOARD (KASNEB),Parastatal,1
NATIONAL SPORTS FUND,Parastatal,1
COMPETITION  AUTHORITY OF KENYA,Parastatal,1
RUIRU-JUJA WATER AND SEWERAGE COMPANY LTD,Parastatal,1
KERIO VALLEY DEVELOPMENT AUTHORITY(KVDA),Parastatal,1
KENYA VETERINARY VACCINES PRODUCTION INSTITUTE,Parastatal,1
GOVERNMENT OF KENYA,Hospital,1
KENYA SCHOOL OF LAW,Parastatal,1
NEW KENYA COOPERATIVE CREAMERIES,Parastatal,1
KENYA NATIONAL BUREAU OF STATISTICS,Parastatal,1
LAKE BASIN DEVELOPMENT AUTHORITY,Parastatal,1
KONZA TECHNOLOGIES DEVELOPMENT AUTHORITY (KOTDA),Parastatal,1
NATIONAL POLICE SERVICE COMMISSION,Parastatal,1
NATIONAL COHESION AND INTEGRATION COMMISSION,Parastatal,1
NATIONAL ENVIRONMENT MANAGEMENT AUTHORITY (NEMA),Parastatal,1
COMMODITIES FUND,Parastatal,1
CONSOLIDATED BANK,Parastatal,1
LOCAL AUTHORITIES PROVIDENT FUND,Parastatal,1
NATIONAL OIL CORPORATION,Parastatal,1
INDEPENDENT ELECTORAL AND BOUNDARIES COMMISSION (IEBC),Ministry,1
NATIONAL POLICE SERVICE COMMISSION,Ministry,1
NATIONAL BIOSAFETY AUTHORITY,Parastatal,1
TECHNICAL VOCATIONAL& EDUCATION TRAINING AUTHORITY (TUETA),Parastatal,1
TEACHERS SERVICE COMMISSION,Parastatal,1
ETHICS & ANTICORRUPTION COMMISSION,Ministry,1
KENYA DEPOSIT INSURANCE CORPORATION,Parastatal,1
"CENTRE FOR MATHEMATICS, SCIENCE AND TECHNOLOGY EDUCATION IN AFRICA (CEMASTEA)",Schools And Colleges,1
UNCLAIMED FINANCIAL ASSETS AUTHORITY,Parastatal,1
MINISTRY OF INFORMATION COMMUNICATION AND TECHNOLOGY,Ministry,1
MINISTRY OF ENVIRONMENT WATER & NATURAL RESOURCES,Ministry,1
MINISTRY OF MINING,Ministry,1
MINISTRY OF TRANSPORT& INFRASTRUCTURE,Ministry,1
MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL TRADE,Ministry,1
STATE DEPARTMENT OF TRANSPORT,Ministry,1
"MINISTRY OF LABOUR,SOCIAL SECURITY AND SERVICES",Ministry,1
MINISTRY OF HEALTH,Ministry,1
"MINISTRY OF SPORTS, CULTURE AND THE ARTS",Ministry,1
STATE DEPARTMENT OF DEVOLUTION,Parastatal,1
IMMIGRATION SERVICES DEPARTMENT,Parastatal,1
MINISTRY OF FOREIGN AFFAIRS AND INTERNATIONAL TRADE,Ministry,1
STATE DEPARTMENT OF COMMERCE AND TOURISM,Ministry,1
OFFICE OF CONTROLLER OF BUDGET,Parastatal,1
THE JUDICIARY,Judiciary,1
OFFICE OF THE AUDITOR GENERAL,Parastatal,1
"MINISTRY OF LAND, HOUSING AND URBAN DEVELOPMENT",Ministry,1
PUBLIC SERVICE COMMISSION,Ministry,1
KENYA METEOROLOGICAL DEPARTMENT,Parastatal,1
STATE HOUSE,Ministry,1
STATE DEPARTMENT OF COORDINATION,Ministry,1
STATE DEPARTMENT OF ENVIRONMENT AND NATURAL RESOURCES,Ministry,1
STATE DEPARTMENT OF WATER,Ministry,1
MINISTRY OF INDUSTRIALIZATION,Ministry,1
MINISTRY OF INDUSTRIALIZATION AND ENTERPRISE DEVELOPMENT,Ministry,1
OFFICE OF THE DIRECTOR OF PUBLIC PROSECUTIONS,Ministry,1
MINISTRY OF ENERGY AND PETROLEUM,Ministry,1
NATIONAL LAND COMMISSION,Ministry,1
"MINISTRY OF LABOUR, SOCIAL SECURITY ANS SERVICES",Ministry,1
DEPARTMENT OF PLANNING,Ministry,1
KENYA MEDICAL PRACTIONERS AND DENTISTS BOARD,Parastatal,1
STATE DEPARTMENT OF EAST AFRICAN AFFAIRS,Parastatal,1
OFFICE OF THE DEPUTY PRESIDENT,Parastatal,1
TECHNICAL VOCATIONAL AND EDUCATION TRAINING AUTHORITY (TVETA),Parastatal,1
THE NATIONAL TREASURY,Ministry,1
COMPUTER REVOLUTION AFRICA,Parastatal,1
SALARIES AND REMUNERATION COMMISSION,Ministry,1
GENERAL SERVICE UNIT,Ministry,1
NATIONAL REGISTRATION BUREAU,Parastatal,1
MINISTRY OF INTERIOR AND CO-ORDINATIOIN OF NATIONAL GOVERNMENT,Ministry,1
STATE DEPARTMENT OF EDUCATION,Parastatal,1
OFFICE OF THE ATTORNEY GENERAL AND DEPARTMENT OF JUSTICE,Ministry,1
MINISTRY OF FOREIGN AFFAIRS AND INTERNATIONAL TRADE,Ministry,1
ELGEYO MARAKWET COUNTY ASSEMBLY,Local Authorities,1
COUNTY GOVERNMENT OF NANDI,Local Authorities,1
STATE DEPARTMENT OF FISHERIES,Ministry,1
JUDGES & MAGISTRATE VETTING BOARD,Parastatal,1
"MINISTRY OF LANDS, HOUSING AND URBAN DEVELOPMENT AND NAIROBI METROPOLITAN",Ministry,1
MATHENGE TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
WOTE TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
BOMET COUNTY ASSEMBLY,Local Authorities,1
KENYA SCHOOL OF MONETARY STUDIES,Parastatal,1
UPPER TANA NATURAL RESOURCES MANAGEMENT PROJECT(UTANRMP)-GOK/IFAD,Parastatal,1
SANG'ALO INSTITUTE OF SCIENCE AND TECHNOLOGY,Schools And Colleges,1
STATE DEPARTMENT OF AGRICULTURE,Ministry,1
RAMOGI INSTITUTE OF ADVANCED TECHNOLOGY,University,1
STATE DEPARTMENT OF LIVESTOCK,Ministry,1
MURANG'A COUNTY GOVERNMENT,County Government,1
YATTA SUB COUNTY,County Government,1
COUNTY COMMISSIONER,Ministry,1
TEST,Parastatal,1
COUNTY ASSEMBLY OF LAMU,County Assembly,1
COUNTY ASSEMBLY OF KITUI,County Assembly,1
COUNTY ASSEMBLY OF KIAMBU,County Assembly,1
WEST POKOT COUNTY ASSEMBLY,County Assembly,1
KENYA INSTITUTE FOR THE BLIND,Schools And Colleges,1
NAROK COUNTY GOVERNMENT,County Government,1
STATE DEPARTMENT FOR DEVOLUTION,Ministry,1
BUMBE T.T.I,Schools And Colleges,1
MUKURWEINI TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
"P,C KINYANJUI TECHNICAL TRAINING INSTITUTE",Schools And Colleges,1
MASAI TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
KIAMBU INSTITUTE OF SCIENCE AND TECHNOLOGY,Schools And Colleges,1
MOI FORCES ACADEMY,Schools And Colleges,1
KEROKA TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
MUKIRIA TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
BONDO TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
KATINE TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
NKABUNE TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
NAIROBI TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
NZOIA WATER SERVICES COMPANY LIMITED,Parastatal,1
NYANDARUA INSTITUTE OF SCIENCE AND TECHNOLOGY,Schools And Colleges,1
RAMOGI INSTITUTE OF ADVANCED TECHNOLOGY,Schools And Colleges,1
VOCATIONAL TRAINING CENTRE FOR THE BLIND AND DEAF – SIKRI,Schools And Colleges,1
NKABUNE TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
KITALE TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
EKERUBO GIETAI TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
KIRINYAGA COUNTY COMMISSIONER,Ministry,1
UPPER TANA NATURAL RESOURCES MANAGEMENT PROJECT (UTANRMP),Ministry,1
RIFT VALLEY TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
NYERI TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
RIFT VALLEY INSTITUTE OF SCIENCE AND TECHNOLOGY,Schools And Colleges,1
EMINING TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
BURETI TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
SANG'ALO INSTITUTE OF SCIENCE AND TECHNOLOGY,Schools And Colleges,1
KAREN TECHNICAL TRAINING INSTITUTE FOR THE DEAF,Schools And Colleges,1
MAWEGO TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
SHAMBERERE TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
