procuring_entity,procurement_ref_no,description,contractor,amount,procuring_method,advert_date,notification_date,contract_signing,completion_date,tenders_sold,bids_received,page
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/ST/031/2014,Contract for Consultancy Services for Resettlement Action Plan (RAP) and Census Study for Rabai-Bamburi-Kilifi 132 kV Transmission Line Lot One,LOG ASSOCIATES,"8,978,400.00",Restricted Tender,8/4/2014,11/11/2014,1/1/2015,3/1/2015,,,2
TOURISM FUND,TF/09/2013-2014,Supply and installation of Lifts and escalators at the Tourism Fund Office Block,MARRYAT 7 SCOTT (K) LIMITED,"98,970,178.00",Open tender,9/27/2013,11/28/2013,12/10/2013,6/30/2014,,,2
TOURISM FUND,TF/10/2013-2014,Supply and installation of mechanical ventilation at the Tourism Fund Office Block on Valley  Road,CLIMATE ENGINNEERING WORKS LIMITED,"10,875,000.00",Open tender,9/27/2013,11/28/2013,12/10/2013,6/30/2014,,,2
TOURISM FUND,TF/08/2013-2014,Supply and installation of Automatic Voltage stabilizer at the Tourism Fund Office Block -Valley Road,CONTEMPORARY ELECTRICALS LIMITED,"13,381,600.00",Open tender,9/27/2013,11/28/2013,12/10/2013,6/30/2014,,,2
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/ST/031/2014,Contract for Consultancy Services for Resettlement Action Plan (RAP) and Census for Study for Voi - Taveta 132kV Transmission Line Lot Two,CHARCHI GITHINJI & PARTNERS CONSULTING ENGINEERS,"9,979,081.00",Restricted Tender,8/4/2014,10/20/2014,1/1/2015,4/30/2015,,,2
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/ST/031/2014,Contract for Provision of Bush Clearing Services for the 400kV Loiyangalani - Suswa Transmission Line Project Lot 1 from Lake Turkana to Marsabit - Samburu Border and Lot 5 from Nyandarua - Nakuru Border to Suswa Substation,FORTY TWO GEOMATICS SERVICES LIMITED,"7,649,203.00",Restricted Tender,9/1/2014,11/10/2014,12/19/2014,2/19/2015,,,2
NUMERICAL MACHINING COMPLEX,NMC/01/2014/2015,"SUPPLY, DELIVERY, INSTALLATION, TESTING, TRAINING AND COMMISSIONING OF 2No. 1000KVA POWER BACKUP GENERATORS.",M/s Novlon Engineering Company Limited,"76,500,000.00",Open tender,1/30/2015,3/4/2015,3/19/2015,11/19/2015,19,19,2
NUMERICAL MACHINING COMPLEX,NMC/02/2014/2015,"SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING AND TRAINING OF 1 NO. TURN MILL.",M/s Greenberg Holdings Ltd,"98,878,941.00",Open tender,1/30/2015,3/4/2015,3/19/2015,11/19/2015,19,5,2
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/ST/014/2014,"Contract for Consultancy Services for Provision of Cadastral Survey Services for 5000+MW Transmission Lines, Lot Four - Isinya - Nairobi East Transmission line (75KM)",SURVPLANS LIMITED,"6,000,000.00",Restricted Tender,3/11/2014,8/24/2014,10/10/2014,1/10/2015,,,2
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/PT/002/2014,"Contract for Consultancy Services for Aerial Mapping of Proposed Route Corridors for 5000+MW Transmission Lines, Lot 1 Silali-Rongai (150KM), Lot 3 Lamu-Kitui-Nairobi (520KM) and Lot 6 Garsen - Garissa (240KM) Transmission Lines",GEOMAPS GEOINFORMATION SERVICES,"102,859,673.00",Open tender,3/11/2014,12/3/2014,1/16/2015,4/16/2015,,,2
KENYA RURAL ROADS AUTHORITY,1/2/2014,"CONSTRUCTION, DESIGN AND MAINTENANCE OF SIGIRI BRIDGE AND APPROACH ROADS ON ROAD R43 IN BUSIA COUNTY UNDER DESIGN-BUILD-MAINTAIN APPROACH.",M/S. CHINA OVERSEAS ENGINEERING GROUP COMPANY LTD,"1,222,000,145.88",Open tender,9/19/2014,2/18/2015,4/15/2015,11/30/2016,,,2
KENYA RURAL ROADS AUTHORITY,1/2014/2015,TENDER FOR CONSULTANCY SERVICES FOR CONSTRUCTION SUPERVISION OF LOW VOLUME SEALED ROADS-GOK FUNDED MURANG'A COUNTY,M/S. NORKEN (I) LTD,"112,314,732.20",Request for proposals,7/2/2014,1/23/2014,4/15/2015,10/30/2015,,,2
KENYA RURAL ROADS AUTHORITY,066/2014,"TENDER FOR DESIGN, BUILD AND MAINTAIN-CONSTRUCTION TO BITUMEN STANDARD OF LIMO HOSPITAL-ILLULA-ELGEYO BORDER-KAPKOI ROAD (D296) IN UASIN GISHU AND ELGEYO MARAKWET COUNTIES",M/S. CHINA HENAN INTERNATIONAL COOPERATION GROUP CO. LTD (CHICO),"2,158,708,496.00",Open tender,9/22/2014,2/2/2015,4/2/2015,11/30/2016,,,2
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/ST/031/2014,Contract for Provision of Bush Clearing Services for the 400kV Loiyangalani Suswa Transmission Line Project Lot 2 from the Border between Marsabit and Samburu Counties to the Border between Samburu and Laikipia Counties and Lot 3 from the Border between Samburu and Laikipia Counties to the Border between Laikipia and Nyandarua Counties,RAADS LOGISTICS AND PROCUREMENT LIMITED,"11,466,600.00",Restricted Tender,10/10/2014,11/10/2014,12/19/2014,2/19/2015,,,2
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/PT/005/2014/Lot 1,"Contract for Procurement of Plant Design, Supply and Installation of 400kV Transmission Line Olkaria Lessos Kisumu Lot 1",Kalpataru Power Transmission Ltd.,"5,466,589,377.00",Open tender,2/26/2014,2/5/2015,3/10/2015,3/10/2017,,,3
KENYA ELECTRICITY TRANSMISSION CO. LTD,KETRACO/PT/005/2014/Lot 2,"Procurement of Plant Design, Supply and Instalation of Olkaria- Lessos- Kisumu Transmission Lines Lot 2",NARI-CCCE JV,"1,781,721,878.00",Open tender,2/26/2014,2/5/2015,3/10/2015,3/10/2017,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,PHARMA SPECIALITIES LTD,"7,746,950.00",Open tender,4/8/2014,7/21/2014,8/7/2014,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,HARLEY'S LTD,"17,013,271.00",Open tender,4/8/2014,7/21/2014,8/7/2014,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/03/2014-2015,SUPPLY AND DELIVERY OF LABORATORY ITEMS,MEDITEC SYSTEMS LIMITED,"10,938,119.68",Open tender,4/8/2014,7/4/2014,7/18/2014,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/15/2014-2015,SUPPLY AND DELIVERY OF DRY FOOD,M/S BOBOZS INVESTMENTS,"5,080,000.00",Open tender,4/23/2014,6/27/2014,7/10/2014,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/12/2014-2015,SUPPLY AND  DELIVERY OF BEEF MUTTON CHICKEN AND EGGS,M/S DAKY ENTERPRISES,"9,792,000.00",Open tender,4/23/2014,6/26/2014,7/10/2014,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/12/2014-2015,"SUPPLY AND DELIVERY OF BEEF,MUTTON,CHICKEN AND EGGS",MS DAMAK ENTERPRISES LIMITED,"18,232,460.00",Open tender,4/23/2014,6/26/2014,7/10/2014,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/04/2014-2016,SUPPLY AND DELIVERY OF RADIOLOGY MATERIALS,SURGIPHARM LIMITED,"11,000,000.00",Open tender,4/8/2015,7/2/2015,7/16/2015,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2016,KNH/T/2/2014-2016 - SUPPLY AND DELIVERY OF SURGICAL ITEMS AND APPLIANCES,Amiken Ltd,"65,749,234.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2014,106,106,3
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,GALAXY PHARMACEUTICAL LTD,"44,361,250.00",Open tender,4/8/2014,7/21/2014,8/7/2014,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/03/2014-2015,SUPPLY AND DELIVERY OF LABORATORY ITEMS,BACTLABS EAST AFRICA LIMITED,"6,323,740.00",Open tender,4/8/2014,4/4/2014,4/18/2014,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2016,SUPPLY & DELIVERY OF SURGICAL DRESSINGS & APPLIANCES,Chacalimu Enterprises,"10,530,000.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2014,106,106,3
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,SURGILINKS LTD,"11,779,577.00",Open tender,4/8/2014,7/21/2014,8/7/2014,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/04/2014-2016,SUPPLY AND DELIVERY OF RADIOLOGY MATERIALS,PHILLIPS HEALTHCARE TECHNOLOGIES LIMITED,"9,037,193.00",Open tender,4/8/2015,7/2/2015,7/16/2015,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,PHILLIPS PHARMACEUTICALS LTD,"15,066,803.00",Open tender,4/8/2014,7/21/2014,8/7/2014,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/15/2014-2015,SUPPLY  AND DELIVERY OF DRY FOODS,FARAJA UNGA LTD,"5,430,780.00",Open tender,4/23/2014,6/27/2014,7/27/2015,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2016,Supply and Delivery of Surgical Appliances,Fuji Medical Intruments,"19,675,500.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2014,106,106,3
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,HIGHRIDGE PHARMACEUTICALS LTD,"43,726,165.00",Open tender,4/8/2014,7/21/2014,8/7/2014,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/24/2014-2015,SUPPLY AND DELIVERY OF ELECTRICAL ITEMS,M/S GRETON ORCHARDS,"5,252,710.00",Open tender,4/23/2014,7/11/2014,7/24/2014,6/30/2015,,,3
KENYATTA NATIONAL HOSPITAL,KNH/T/11/2014-2016,SUPPLY AND DELIVERY   OF SUTURES,SURGIPHARM LIMITED,"14,133,880.00",Open tender,4/8/2014,7/14/2014,7/28/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,SYNER-MED PHARMACEUTICALS LTD,"15,815,164.00",Open tender,4/8/2014,7/21/2014,8/7/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/72/2014-2015,SUPPLY AND DELIVEY OF PLUMBING ITEMS,INTERPON KENYA LTD,"6,266,309.00",Open tender,4/23/2014,7/15/2014,7/30/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/2/2014-2016,KNH/T/2/2014-2016 - Supply and Delivery of Surgical and Appliances,Mega Importers Co.Limited,"12,436,000.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2014,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/10/2014-2016,SUPPLY AND DELIVERY OF CARDIOLOGY ITEMS,CARDIAC IMPLANT SYSTEMS LIMITED,"17,621,288.57",Open tender,4/8/2014,6/23/2014,7/7/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,UNIVERSAL CORPORATION LTD,"7,036,870.00",Open tender,4/8/2014,7/21/2014,8/8/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/22/2014-2015,SUPPLY AND DELIVERY OF CLEANSING MATERIALS,M/S PETRELLA SERVICES LTD,"9,952,250.00",Open tender,4/23/2014,7/3/2014,7/16/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,EUROPA HEALTHCARE LTD,"23,999,572.00",Open tender,4/8/2014,7/21/2014,8/7/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2015,KNH/T/2/2014-2016 Supply & Delivery of Surgical and Appliances,Makupa Chemist Ltd,"13,343,000.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2014,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/14/2014-2015,SUPPLY AND DELIVERY OF FRUITS AND VEGETABLES,M/S MOUNTAIN FRESH SUPPLIERS,"5,996,700.00",Open tender,4/23/2014,6/26/2014,7/9/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/06/2014-2016,SUPPLY AND DELIVERY OF RENAL ITEMS,CHACALIMU ENTERPRISES,"9,475,000.00",Open tender,4/8/2014,6/24/2014,7/10/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,SIMBA PHARMACEUTICALS LTD,"5,872,500.00",Open tender,4/8/2014,7/21/2014,8/7/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/25/2014-2015,SUPPLY AND DELIVERY OF BUILDING ITEMS,FACELIFT ENTERPRISES LTD,"11,961,350.00",Open tender,4/23/2014,6/23/2014,8/7/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/68/2014-2015,SUPPLY AND DELIVERY OF ICT ITEMS,MS WINCOMP SERVICES LIMITED,"9,465,600.00",Open tender,9/16/2014,11/5/2014,11/19/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/22/2014-2015,SUPPLY AND DELIVERY OF CLEANSING MATERIAL,M/S A TO Z HYGIENE SOLUTIONS LTD,"5,432,000.00",Open tender,4/23/2014,7/3/2014,7/17/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/06/2014-2016,SUPPLY AND DELIVERY OF RENAL ITEMS,CROWN SOLUTIONS LIMITED - CROWN HEALTHCARE DIVISION,"10,663,150.00",Open tender,4/8/2014,6/24/2014,7/8/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,GLOBE PHARMACY LTD,"6,371,120.00",Open tender,4/8/2014,7/21/2014,8/7/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/100/2013-2014,SUPPLY & DELIVERY OF CSSD/TSSU  INSTRUMENTS,M/S STIVEK AGOMA EA LTD,"5,600,445.00",Open tender,5/16/2014,7/25/2014,8/9/2014,6/20/2014,,,4
KENYATTA NATIONAL HOSPITAL,KNT/T/14/2014-2015,SUPPLY AND DELIVERY OF FRUITS AND VEGETABLES,M/S LAHANA SUPPLIERS LTD,"6,101,574.00",Open tender,4/23/2014,6/26/2014,7/9/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/18/2014-2015,SUPPLY AND DELIVERY OF MEDICAL GASES,M/S NOBLE GASES INTERNATIONAL LTD,"105,122,400.00",Open tender,4/23/2014,6/23/2014,7/6/2014,6/30/2015,,,4
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2015,KNH/T/2/2014-2016 Supply and Delivery of Surgical and applicances,Stivek Agoma (EA) Ltd,"10,968,500.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2014,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/06/2014-2016,SUPPLY AND DELIVERY OF RENAL ITEMS,NAIROBI MEDICAL STORES LIMITED,"11,470,000.00",Open tender,4/8/2014,6/24/2014,7/8/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,BIODEAL LABORATORIES LTD,"21,486,970.00",Open tender,4/8/2014,7/21/2014,8/8/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,BIODEAL LABORATORIES LTD,"21,486,970.00",Open tender,4/8/2014,7/21/2014,8/8/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNT/T/15/2014-2015,SUPPLY AND DELIVERY OF DRY FOOD,M/S DAFFODIL IRIS COMPANY,"12,438,450.00",Open tender,4/23/2014,6/27/2014,7/10/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/24/2014-2015,SUPPLY AND DELIVERY OF ELECTRICAL ITEMS,JO WORLD AGENCIES,"5,506,730.00",Open tender,4/23/2014,7/11/2014,7/24/2014,6/30/2014,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,SAI PHARMACEUTICALS LTD,"30,477,789.00",Open tender,4/8/2014,7/21/2014,8/7/2014,6/30/2014,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/17/2014-2015,SUPPLY AND DELIVERY OF FUEL,M/S RAMJI HARIBHAI DEVANI LIMITED,"156,883,900.00",Open tender,4/23/2014,7/11/2014,7/24/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNT/T/15/2014-2015,SUPPLY AND DELIVERY OF DRY FOOD,M/S ALPHA EGGS LTD,"5,497,500.00",Open tender,4/23/2014,6/27/2014,7/10/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2016,KNH/T/2/2014-2016 Supply and Delivery of Surgical and Appliances,Surgipharm Ltd,"37,977,990.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2014,116,116,5
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY AND DELIVERY PHARMACEUTICALS,SURGIPHARM LIMITED,"122,096,271.00",Open tender,4/8/2014,7/21/2014,8/27/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/68/2014-2015,SUPPLY AND DELIVERY OF ICT ITEMS,MS JO WORLD AGENCIES LTD,"16,034,676.29",Open tender,9/16/2014,11/5/2014,11/19/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/01/2014-2016,SUPPLY & DELIVERY OF PHARMACEUTICALS,GLAXOSMITHKLINE LTD,"59,682,226.00",Open tender,4/8/2014,7/21/2014,8/8/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/02/2014-2016,SUPPLY AND DELIVERY OF SURGICAL DRESSINGS AND APPLIANCES,HIGHRIDGE PHARMACEUTICALS LIMITED,"10,992,200.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/16/2014-2015,SUPPLY AND DELIVERY OF NUTRITIONAL SUPPLEMENTS,M/S SURGIPHARM LIMITED,"30,472,776.90",Open tender,4/23/2014,6/24/2014,7/7/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/23/2014-2015,SUPPLY AND DELIVERY OF COMPUTER STATIONERY,M/S PRIMAX OFFICE SOLUTIONS LTD,"5,663,940.00",Open tender,4/23/2014,7/8/2014,7/21/2014,6/30/2014,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/67/2014-2015,SUPPLY DELIVERY TESTING & COMMISSIONING OF LAUNDRY EQUIPMENT,M/S G.NORTH & SON LIMITED,"7,714,000.00",Open tender,9/16/2014,11/7/2014,11/21/2014,6/30/2015,,,5
KENYATTA NATIONAL HOSPITAL,KNH/T/2/2014-2015,KNH/T/2014-2016 Supply and Delivery of Surgical and Appliances,Concord Health Care Agencies Ltd,"13,362,600.00",Open tender,4/8/2014,6/27/2014,7/11/2014,6/30/2014,,,5
